City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Atuona,PF,-9.8,-139.0333,77.22,68,33,25.48,scattered clouds
1,Constitucion,CL,-35.3333,-72.4167,50.49,79,0,5.66,clear sky
2,Hobart,AU,-42.8794,147.3294,43.27,100,75,0.0,broken clouds
3,Ushuaia,AR,-54.8,-68.3,33.35,94,92,2.59,overcast clouds
4,Codrington,AU,-38.2667,141.9667,46.27,93,100,3.06,overcast clouds
5,Rikitea,PF,-23.1203,-134.9692,73.15,70,77,20.94,broken clouds
6,Kaitangata,NZ,-46.2817,169.8464,37.96,74,13,6.33,few clouds
7,Bethel,US,41.3712,-73.414,88.81,53,100,1.52,overcast clouds
8,Isangel,VU,-19.55,169.2667,73.06,57,10,15.57,clear sky
9,San Nicolas Guadalupe,MX,19.6125,-100.0333,60.31,66,100,1.34,overcast clouds
10,Avarua,CK,-21.2078,-159.775,78.85,73,20,12.66,few clouds
11,Lahij,YE,13.1667,44.5833,85.51,58,94,2.24,overcast clouds
12,Hermanus,ZA,-34.4187,19.2345,58.8,72,100,13.89,overcast clouds
13,Nikolskoye,RU,59.7035,30.7861,66.09,75,100,6.22,overcast clouds
14,Zhangye,CN,38.9342,100.4517,80.06,55,1,1.63,clear sky
15,Ardon,RU,43.17,44.29,68.99,68,0,3.4,clear sky
16,Pangody,RU,65.85,74.4859,60.06,52,100,12.55,overcast clouds
17,Punta Arenas,CL,-53.15,-70.9167,35.11,69,82,7.29,broken clouds
18,Kruisfontein,ZA,-34.0033,24.7314,55.89,92,100,5.82,overcast clouds
19,Banda Aceh,ID,5.5577,95.3222,78.19,83,99,12.06,light rain
20,Mount Isa,AU,-20.7333,139.5,62.37,39,91,6.91,overcast clouds
21,Saint-Philippe,RE,-21.3585,55.7679,63.99,70,31,12.5,scattered clouds
22,Sept-Iles,CA,50.2001,-66.3821,65.05,85,96,4.0,overcast clouds
23,Coihaique,CL,-45.5752,-72.0662,38.91,98,99,3.91,overcast clouds
24,Kapaa,US,22.0752,-159.319,84.18,70,77,5.01,broken clouds
25,Bambous Virieux,MU,-20.3428,57.7575,69.22,69,92,17.22,overcast clouds
26,Albany,US,42.6001,-73.9662,82.56,53,83,1.01,broken clouds
27,Yellowknife,CA,62.456,-114.3525,63.05,38,31,11.86,scattered clouds
28,Gat,IL,31.61,34.7642,79.81,100,0,5.17,clear sky
29,Owando,CG,-0.4819,15.8999,77.95,48,99,1.3,overcast clouds
30,Salumbar,IN,24.1333,74.05,76.82,95,100,10.63,overcast clouds
31,Nadym,RU,65.5333,72.5167,59.63,54,100,11.74,overcast clouds
32,Klaksvik,FO,62.2266,-6.589,52.72,85,100,11.92,overcast clouds
33,Norman Wells,CA,65.282,-126.8329,71.94,26,69,4.76,broken clouds
34,Mataura,NZ,-46.1927,168.8643,38.46,70,19,2.82,few clouds
35,Lebu,CL,-37.6167,-73.65,50.18,90,100,2.8,light rain
36,Kahului,US,20.8947,-156.47,87.96,67,100,11.99,overcast clouds
37,Marystown,CA,47.1666,-55.1483,58.73,89,100,7.29,overcast clouds
38,Villanueva De La Serena,ES,38.9766,-5.7974,79.77,25,0,4.47,clear sky
39,Cape Town,ZA,-33.9258,18.4232,59.88,76,100,8.99,overcast clouds
40,Grand Gaube,MU,-20.0064,57.6608,69.39,61,77,7.0,broken clouds
41,Jamestown,US,42.097,-79.2353,75.06,44,0,5.01,clear sky
42,Pandan,PH,14.0453,124.1694,79.52,84,92,1.12,overcast clouds
43,Saskylakh,RU,71.9167,114.0833,43.66,69,100,7.09,overcast clouds
44,Vaini,TO,-21.2,-175.2,77.16,78,20,12.66,few clouds
45,Narsaq,GL,60.9167,-46.05,55.62,81,11,3.56,few clouds
46,Port Hardy,CA,50.6996,-127.4199,61.7,90,67,5.86,broken clouds
47,Kodiak,US,57.79,-152.4072,56.71,88,100,6.91,mist
48,Jishou,CN,28.3167,109.7167,78.46,81,94,2.57,overcast clouds
49,Busselton,AU,-33.65,115.3333,49.51,89,2,11.92,clear sky
50,East London,ZA,-33.0153,27.9116,63.3,76,85,4.59,overcast clouds
51,Naze,JP,28.3667,129.4833,80.08,81,100,5.93,overcast clouds
52,Ornskoldsvik,SE,63.2909,18.7153,61.75,63,100,10.36,overcast clouds
53,Isagarh,IN,24.8333,77.8833,75.13,94,82,8.99,heavy intensity rain
54,Ribeira Grande,PT,38.5167,-28.7,74.64,78,81,9.24,broken clouds
55,Faya,SA,18.3851,42.4509,68.52,75,73,4.56,broken clouds
56,Guaymas,MX,27.9333,-110.9,97.88,55,69,12.73,broken clouds
57,Sao Filipe,CV,14.8961,-24.4956,78.4,79,15,14.5,few clouds
58,New Norfolk,AU,-42.7826,147.0587,42.91,85,98,1.74,overcast clouds
59,Cabo San Lucas,MX,22.8909,-109.9124,92.5,61,20,8.05,few clouds
60,Tuktoyaktuk,CA,69.4541,-133.0374,49.96,78,100,14.14,overcast clouds
61,Bairiki,KI,1.3292,172.9752,84.2,74,40,10.36,scattered clouds
62,Tiksi,RU,71.6872,128.8694,39.81,95,100,11.05,overcast clouds
63,San Juan Bautista,PE,-14.0108,-75.7358,70.84,48,4,10.31,clear sky
64,Roma,US,43.2128,-75.4557,78.51,59,20,11.5,few clouds
65,Komsomolskiy,UZ,40.4272,71.7189,74.12,43,19,6.91,few clouds
66,Paragominas,BR,-2.9667,-47.4833,83.05,48,54,3.27,broken clouds
67,Mecca,SA,21.4267,39.8261,90.81,58,96,11.74,overcast clouds
68,Chokurdakh,RU,70.6333,147.9167,49.66,71,100,9.86,overcast clouds
69,Hazorasp,UZ,41.3194,61.0742,67.84,29,0,10.02,clear sky
70,Barrow,US,71.2906,-156.7887,46.42,93,100,17.27,mist
71,Hilo,US,19.7297,-155.09,93.27,85,84,4.0,broken clouds
72,Severo-Kurilsk,RU,50.6789,156.125,56.1,96,97,12.64,overcast clouds
73,Iquique,CL,-20.2208,-70.1431,60.39,69,10,0.34,clear sky
74,Luderitz,NA,-26.6481,15.1594,55.96,86,47,8.99,scattered clouds
75,Havre-Saint-Pierre,CA,50.2334,-63.5986,63.79,85,81,4.63,broken clouds
76,Iqaluit,CA,63.7506,-68.5145,43.14,70,67,8.81,broken clouds
77,Port Alfred,ZA,-33.5906,26.891,62.44,80,92,4.0,overcast clouds
78,Nouadhibou,MR,20.931,-17.0347,71.71,83,5,30.44,clear sky
79,Sisimiut,GL,66.9395,-53.6735,43.11,84,85,6.2,overcast clouds
80,Hammerfest,NO,70.6634,23.6821,50.45,93,75,27.63,shower rain
81,Ambilobe,MG,-13.2,49.05,64.72,69,1,5.75,clear sky
82,Doha,QA,25.2867,51.5333,94.98,71,0,3.44,clear sky
83,Mar Del Plata,AR,-38.0023,-57.5575,56.88,71,0,11.99,clear sky
84,Saint George,US,37.1041,-113.5841,94.95,33,0,4.0,clear sky
85,Ucluelet,CA,48.9329,-125.5528,67.08,82,2,1.01,clear sky
86,Lata,PT,40.1629,-8.3327,60.22,94,0,1.1,clear sky
87,Pleasanton,US,37.6624,-121.8747,90.79,44,0,13.8,clear sky
88,Carmo,BR,-21.9336,-42.6086,58.21,77,2,4.99,clear sky
89,Catamarca,AR,-28.4696,-65.7852,65.59,42,100,2.89,overcast clouds
90,Belyy Yar,RU,53.6039,91.3903,57.09,82,0,0.0,clear sky
91,Omsukchan,RU,62.5333,155.8,55.15,83,100,5.19,overcast clouds
92,Caravelas,BR,-17.7125,-39.2481,72.99,68,100,11.48,overcast clouds
93,Rawson,AR,-43.3002,-65.1023,55.06,42,15,6.58,few clouds
94,Benguela,AO,-12.5763,13.4055,67.57,87,40,4.61,scattered clouds
95,Bluff,NZ,-46.6,168.3333,41.65,80,99,9.69,overcast clouds
96,Noumea,NC,-22.2763,166.4572,71.01,99,56,14.41,broken clouds
97,Dikson,RU,73.5069,80.5464,43.97,93,100,19.44,overcast clouds
98,Cintalapa,MX,16.6951,-93.7272,80.42,75,90,5.61,overcast clouds
99,Pacific Grove,US,36.6177,-121.9166,86.38,71,0,12.66,clear sky
100,Lagoa,PT,39.05,-27.9833,73.49,83,98,13.56,light rain
101,Hovd,MN,48.0056,91.6419,62.64,52,3,3.0,clear sky
102,Marsaxlokk,MT,35.8419,14.5431,79.41,78,20,4.61,few clouds
103,Gweta,BW,-20.1833,25.2333,66.45,20,0,7.9,clear sky
104,Carnarvon,AU,-24.8667,113.6333,58.78,34,0,15.77,clear sky
105,Mizdah,LY,31.4451,12.9801,76.5,62,0,13.91,clear sky
106,Torbay,CA,47.6666,-52.7314,59.29,92,100,5.75,mist
107,Port Elizabeth,ZA,-33.918,25.5701,58.1,96,100,4.0,overcast clouds
108,Broken Hill,AU,-31.95,141.4333,46.38,51,15,12.95,few clouds
109,Thompson,CA,55.7435,-97.8558,79.11,37,26,10.65,scattered clouds
110,Upernavik,GL,72.7868,-56.1549,42.1,81,100,10.6,overcast clouds
111,Andros,GR,37.8333,24.9333,81.16,57,0,14.0,clear sky
112,Kudahuvadhoo,MV,2.6708,72.8944,80.82,78,22,6.24,few clouds
113,Campina Verde,BR,-19.5356,-49.4864,62.65,50,0,7.0,clear sky
114,Beidao,CN,34.5686,105.8933,73.08,82,87,5.41,overcast clouds
115,Chuy,UY,-33.6971,-53.4616,52.52,87,6,4.97,clear sky
116,Castro,BR,-24.7911,-50.0119,47.73,75,0,4.94,clear sky
117,Esperance,AU,-33.8667,121.9,52.68,71,87,7.72,overcast clouds
118,Georgetown,MY,5.4112,100.3354,82.89,83,20,0.0,few clouds
119,Marawi,PH,7.9986,124.2928,68.85,88,86,2.51,overcast clouds
120,Bilma,NE,18.6853,12.9164,95.11,10,25,8.77,scattered clouds
121,Danville,US,36.586,-79.395,81.88,84,20,5.75,few clouds
122,San Patricio,US,28.017,-97.5169,98.17,45,100,7.7,overcast clouds
123,Richards Bay,ZA,-28.783,32.0377,70.52,66,3,15.79,clear sky
124,Innisfail,AU,-17.5333,146.0333,68.76,88,97,4.83,overcast clouds
125,Nishihara,JP,26.1842,127.7558,83.48,85,75,2.3,broken clouds
126,Nanortalik,GL,60.1432,-45.2371,43.74,92,44,8.1,scattered clouds
127,Puerto Ayora,EC,-0.7393,-90.3518,78.76,99,100,7.0,overcast clouds
128,Hithadhoo,MV,-0.6,73.0833,81.55,74,5,6.91,very heavy rain
129,Bubaque,GW,11.2833,-15.8333,80.1,81,100,14.63,moderate rain
130,Kavaratti,IN,10.5669,72.642,80.78,82,37,20.76,scattered clouds
131,Manta,EC,-0.95,-80.7333,78.58,78,40,11.5,scattered clouds
132,Aksarayskiy,RU,46.7924,48.0119,76.32,37,7,7.31,clear sky
133,Warrnambool,AU,-38.3833,142.4833,48.11,86,100,8.75,overcast clouds
134,College,US,64.8569,-147.8028,68.32,44,40,5.75,scattered clouds
135,Harper,LR,4.375,-7.7169,76.33,77,100,10.11,overcast clouds
136,Namibe,AO,-15.1961,12.1522,61.38,90,54,8.57,broken clouds
137,Tura,IN,25.5198,90.2201,73.24,93,23,5.21,few clouds
138,George,ZA,-33.963,22.4617,56.1,86,100,4.76,overcast clouds
139,Najran,SA,17.4924,44.1277,85.33,38,94,12.26,overcast clouds
140,Moose Factory,CA,51.2585,-80.6094,65.12,36,3,10.85,clear sky
141,Yumen,CN,40.2833,97.2,77.22,30,1,15.12,clear sky
142,Qaanaaq,GL,77.484,-69.3632,38.98,72,96,6.11,overcast clouds
143,Tucson,US,32.2217,-110.9265,98.01,40,0,8.05,clear sky
144,La Libertad,EC,-2.2333,-80.9,71.26,83,75,9.22,broken clouds
145,Asyut,EG,27.181,31.1837,86.49,24,0,7.78,clear sky
146,Urdoma,RU,61.7533,48.5442,58.35,73,100,8.28,overcast clouds
147,Sao Joao Da Barra,BR,-21.6403,-41.0511,69.21,66,95,29.3,overcast clouds
148,Fenyi,CN,27.8112,114.6681,77.43,79,100,2.17,overcast clouds
149,Gamba,GA,-2.65,10.0,70.52,86,55,5.48,broken clouds
150,Bandar-E Anzali,IR,37.4727,49.4622,78.69,77,7,1.63,clear sky
151,Souillac,MU,-20.5167,57.5167,67.73,70,63,13.47,broken clouds
152,Ayan,RU,56.45,138.1667,55.2,98,100,12.1,moderate rain
153,Ponta Delgada,PT,37.7333,-25.6667,74.12,73,75,9.22,broken clouds
154,Bengkulu,ID,-3.8004,102.2655,76.01,91,40,3.65,scattered clouds
155,Faanui,PF,-16.4833,-151.75,78.24,75,10,14.5,light rain
156,Alofi,NU,-19.0595,-169.9187,82.29,74,40,10.36,scattered clouds
157,Oranjemund,NA,-28.55,16.4333,54.57,93,94,0.54,overcast clouds
158,Abu Dhabi,AE,24.4667,54.3667,91.96,84,97,8.48,overcast clouds
159,Eureka,US,40.8021,-124.1637,75.67,73,14,8.99,few clouds
160,Gravatai,BR,-29.9444,-50.9919,60.19,81,24,6.58,few clouds
161,Venice,US,27.0998,-82.4543,89.58,69,20,10.36,few clouds
162,Cortez,US,37.3489,-108.5859,89.04,28,0,5.75,clear sky
163,Yakeshi,CN,49.2833,120.7333,53.8,80,19,3.96,few clouds
164,Ossora,RU,59.2353,163.0719,59.95,80,18,5.5,few clouds
165,Ponta Do Sol,PT,32.6667,-17.1,71.71,74,55,2.44,broken clouds
166,Mayumba,GA,-3.432,10.6554,69.66,91,93,3.98,overcast clouds
167,Mwene-Ditu,CD,-7.0,23.45,72.12,21,100,4.94,overcast clouds
168,Bud,US,39.447,-86.1758,83.68,89,59,9.82,broken clouds
169,Longyearbyen,SJ,78.2186,15.6401,46.24,76,75,10.36,broken clouds
170,Alice Springs,AU,-23.7,133.8833,45.21,63,0,6.91,clear sky
171,Serebryanyy Bor,RU,56.8,124.8,52.99,95,100,5.23,light rain
172,Tromso,NO,69.6496,18.957,50.02,81,75,17.27,light intensity shower rain
173,General Teran,MX,25.2667,-99.6833,101.66,22,25,15.5,scattered clouds
174,Chernyshevskiy,RU,63.0128,112.4714,55.69,91,67,2.37,broken clouds
175,Las Cruces,US,32.3123,-106.7783,81.36,47,0,11.5,clear sky
176,Sawakin,SD,19.1059,37.3321,93.92,53,87,8.21,overcast clouds
177,Baiyin,CN,36.5583,104.2081,72.84,70,22,4.16,few clouds
178,Tasiilaq,GL,65.6145,-37.6368,35.76,86,24,1.34,few clouds
179,Arraial Do Cabo,BR,-22.9661,-42.0278,67.51,77,40,18.7,scattered clouds
180,Enugu,NG,6.4402,7.4943,71.55,96,100,7.85,overcast clouds
181,Hamilton,US,39.1834,-84.5333,83.75,64,71,8.81,broken clouds
182,Mujiayingzi,CN,42.1167,118.7833,68.72,77,95,1.39,overcast clouds
183,Comodoro Rivadavia,AR,-45.8667,-67.5,53.46,43,0,4.61,clear sky
184,Nokha,IN,27.6,73.4167,84.78,62,98,13.2,overcast clouds
185,Wanning,CN,18.8003,110.3967,78.93,90,100,2.26,overcast clouds
186,Cherskiy,RU,68.75,161.3,55.83,65,97,10.45,overcast clouds
187,Zhangjiakou,CN,40.81,114.8794,73.69,75,92,3.65,overcast clouds
188,Katobu,ID,-4.9408,122.5276,73.85,97,65,3.83,broken clouds
189,Bredasdorp,ZA,-34.5322,20.0403,54.36,81,100,6.02,overcast clouds
190,Gorin,RU,51.1983,136.6669,54.88,95,100,2.89,overcast clouds
191,Jumla,NP,29.2747,82.1838,58.96,88,38,4.43,scattered clouds
192,San Cristobal,VE,7.7669,-72.225,82.58,62,82,6.4,broken clouds
193,Walvis Bay,NA,-22.9575,14.5053,52.09,75,0,9.73,clear sky
194,Lompoc,US,34.6391,-120.4579,77.85,69,0,14.97,clear sky
195,Okhotsk,RU,59.3833,143.3,58.01,93,100,3.24,overcast clouds
196,Leningradskiy,RU,69.3833,178.4167,49.98,75,99,2.64,overcast clouds
197,Maltahohe,NA,-24.8333,16.9833,56.93,10,25,9.55,scattered clouds
198,Kindia,GN,10.0569,-12.8658,69.67,99,97,3.15,light rain
199,Saint-Augustin,CA,51.226,-58.6502,63.03,88,100,14.63,overcast clouds
200,Borovo,HR,45.3764,18.9669,64.24,67,0,1.14,clear sky
201,Nome,US,64.5011,-165.4064,52.16,89,100,7.34,overcast clouds
202,Olga,RU,43.7444,135.2892,67.68,79,6,4.05,clear sky
203,Pemba,MZ,-12.974,40.5178,73.4,70,19,8.68,few clouds
204,Butaritari,KI,3.0707,172.7902,81.99,75,97,13.06,overcast clouds
205,Tanout,NE,14.9709,8.8879,84.0,57,48,18.59,scattered clouds
206,Tual,ID,-5.6667,132.75,80.02,82,84,16.06,broken clouds
207,Abu Kamal,SY,34.4506,40.9171,88.47,30,0,11.88,clear sky
208,Kiunga,PG,-6.1219,141.2906,73.13,99,100,2.89,overcast clouds
209,Deputatskiy,RU,69.3,139.9,46.6,83,100,4.56,overcast clouds
210,Miandrivazo,MG,-19.5167,45.4667,68.32,63,0,3.11,clear sky
211,Aswan,EG,24.0934,32.907,92.59,22,46,15.37,scattered clouds
212,Margate,GB,51.3813,1.3862,69.69,87,1,4.0,clear sky
213,Geraldton,AU,-28.7667,114.6,48.61,81,0,16.11,clear sky
214,Shache,CN,38.4167,77.2406,76.71,46,99,6.82,overcast clouds
215,Gavrilovka Vtoraya,RU,52.877,42.7663,63.84,83,5,8.41,clear sky
216,Altamira,BR,-3.2033,-52.2064,82.13,56,71,1.63,broken clouds
217,Rocha,UY,-34.4833,-54.3333,50.49,86,0,4.79,clear sky
218,Mbini,GQ,1.574,9.6134,75.94,86,100,6.04,overcast clouds
219,Cancun,MX,21.1743,-86.8466,87.73,66,75,8.05,broken clouds
220,Salalah,OM,17.0151,54.0924,76.5,92,98,8.21,overcast clouds
221,Katsuura,JP,35.1333,140.3,81.7,83,53,19.42,broken clouds
222,Mogocha,RU,53.7333,119.7667,54.93,97,100,2.15,light rain
223,Tral,IN,33.9333,75.1,66.45,85,68,2.21,broken clouds
224,Mount Gambier,AU,-37.8333,140.7667,46.31,100,100,6.91,light intensity shower rain
225,Sarangani,PH,5.4033,125.4636,82.06,73,32,2.73,scattered clouds
226,Qasigiannguit,GL,68.8193,-51.1922,41.25,88,100,2.89,overcast clouds
227,Tuatapere,NZ,-46.1333,167.6833,40.68,67,5,4.12,clear sky
228,Nuuk,GL,64.1835,-51.7216,48.81,66,0,8.05,clear sky
229,Parchim,DE,53.4263,11.8488,62.98,57,9,7.87,clear sky
230,Madingou,CG,-4.1536,13.55,75.52,61,80,2.91,broken clouds
231,Jibuti,DJ,11.5,42.5,84.42,55,91,4.72,overcast clouds
232,Cidreira,BR,-30.1811,-50.2056,58.95,87,1,8.21,clear sky
233,Feicheng,CN,35.2606,117.9675,79.81,88,97,2.24,overcast clouds
234,Loikaw,MM,19.6742,97.2094,67.33,99,100,2.55,moderate rain
235,Homer,US,59.6425,-151.5483,60.69,86,100,6.91,light rain
236,Asau,RO,46.4333,26.4,60.28,73,30,5.14,light rain
237,Voyskovitsy,RU,59.5287,29.964,63.43,77,100,7.11,overcast clouds
238,Ostrovnoy,RU,68.0531,39.5131,52.38,85,4,12.33,clear sky
239,Nador,MA,35.174,-2.9287,80.85,83,0,2.3,clear sky
240,Podgornoye,RU,51.735,39.1496,70.02,78,0,8.95,clear sky
241,Airai,TL,-8.9266,125.4092,57.07,93,51,3.53,broken clouds
242,Mount Pleasant,US,32.7941,-79.8626,88.0,76,0,9.22,haze
243,Dicabisagan,PH,17.0818,122.4157,77.63,87,92,3.69,overcast clouds
244,Ixtapa,MX,20.7,-105.2,87.03,74,75,11.5,broken clouds
245,Yenagoa,NG,4.9247,6.2642,74.03,95,100,2.8,overcast clouds
246,Acapulco,MX,16.8634,-99.8901,85.82,66,75,8.05,broken clouds
247,Gombong,ID,-7.6072,109.5142,74.89,95,69,1.92,broken clouds
248,Ancud,CL,-41.8697,-73.8203,48.79,92,100,16.08,moderate rain
249,Meulaboh,ID,4.1363,96.1285,77.09,85,100,1.86,overcast clouds
250,Tilichiki,RU,60.4667,166.1,55.17,85,99,6.82,overcast clouds
251,Kamenka,RU,51.3223,42.7678,68.29,75,78,9.66,broken clouds
252,Talnakh,RU,69.4865,88.3972,47.21,72,95,3.06,overcast clouds
253,Buraydah,SA,26.326,43.975,95.14,20,9,10.29,clear sky
254,Paamiut,GL,61.994,-49.6678,43.39,92,24,7.09,few clouds
255,Hearst,CA,49.6835,-83.6665,69.06,33,2,8.21,clear sky
256,Surt,LY,31.2089,16.5887,81.41,59,0,8.9,clear sky
257,Flinders,AU,-34.5833,150.8552,57.38,82,100,1.99,overcast clouds
258,Pinega,RU,64.7001,43.3936,60.75,94,100,8.34,overcast clouds
259,Opuwo,NA,-18.0607,13.84,64.4,16,0,3.76,clear sky
260,Touros,BR,-5.1989,-35.4608,76.33,82,16,10.4,few clouds
261,Anshun,CN,26.25,105.9333,64.85,96,89,5.14,overcast clouds
262,Marion,US,39.7684,-86.1555,82.74,73,75,13.8,broken clouds
263,Sorland,NO,67.667,12.6934,49.86,82,94,25.93,overcast clouds
264,Shimoda,JP,34.6667,138.95,78.1,88,100,12.39,overcast clouds
265,Conceicao Do Araguaia,BR,-8.2578,-49.2647,85.26,30,27,3.31,scattered clouds
266,Ardrishaig,GB,56.0157,-5.4481,56.08,94,0,3.04,clear sky
267,Kaharlyk,UA,49.8623,30.8282,64.92,87,98,7.25,overcast clouds
268,Ilulissat,GL,69.2167,-51.1,41.02,93,75,1.14,broken clouds
269,Galle,LK,6.0367,80.217,77.81,91,74,8.61,broken clouds
270,Westport,US,41.1415,-73.3579,89.31,55,100,3.0,overcast clouds
271,Uhlove,UA,44.8215,33.6045,71.02,74,20,4.34,few clouds
272,Imeni Poliny Osipenko,RU,52.4201,136.4853,55.2,94,100,4.72,overcast clouds
273,Victoria,HK,22.2855,114.1577,81.32,92,100,5.99,overcast clouds
274,Halifax,CA,44.6453,-63.5724,70.7,87,100,6.91,overcast clouds
275,Saldanha,ZA,-33.0117,17.9442,55.98,88,100,10.54,overcast clouds
276,Sur,OM,22.5667,59.5289,89.53,59,100,4.12,overcast clouds
277,Hasaki,JP,35.7333,140.8333,82.8,81,18,23.11,few clouds
278,Palora,EC,-1.7,-77.9333,69.91,80,98,2.66,light rain
279,Sitka,US,57.0531,-135.33,66.09,72,75,3.44,broken clouds
280,Hami,CN,42.8,93.45,85.05,30,32,14.56,scattered clouds
281,Severobaykalsk,RU,55.65,109.3167,50.85,84,11,1.19,few clouds
282,Mahebourg,MU,-20.4081,57.7,69.26,71,85,17.02,overcast clouds
283,Sretensk,RU,52.2453,117.7093,56.3,94,83,1.92,light rain
284,Clyde River,CA,70.4692,-68.5914,52.21,61,83,7.43,broken clouds
285,Smithers,CA,54.7804,-127.1743,87.46,28,35,1.61,scattered clouds
286,San Fernando,PH,15.0286,120.6898,75.99,92,67,1.43,broken clouds
287,Caceres,ES,39.522,-6.3748,78.33,26,0,5.37,clear sky
288,Rafsanjan,IR,30.4067,55.9939,77.9,17,0,8.75,clear sky
289,Dunedin,NZ,-45.8742,170.5036,43.81,74,3,4.41,clear sky
290,Westerland,DE,54.9079,8.3033,62.62,77,1,5.75,clear sky
291,Esil,KZ,51.9556,66.4042,71.06,56,52,2.17,broken clouds
292,Kiama,AU,-34.6833,150.8667,57.58,78,100,3.0,overcast clouds
293,Niteroi,BR,-22.8833,-43.1036,65.82,88,100,5.75,overcast clouds
294,Urgut,UZ,39.4022,67.2431,67.62,38,0,1.88,clear sky
295,Salinas,US,36.6777,-121.6555,92.57,58,0,16.11,clear sky
296,Juneau,US,58.3019,-134.4197,62.98,95,100,2.21,overcast clouds
297,Coquimbo,CL,-29.9533,-71.3436,55.08,84,100,5.1,overcast clouds
298,Conceicao Da Barra,BR,-18.5933,-39.7322,71.91,65,98,10.69,overcast clouds
299,Monroe,US,43.1501,-77.6831,78.66,49,40,11.5,scattered clouds
300,Dwarka,IN,22.2394,68.9678,81.79,88,100,8.84,overcast clouds
301,Daru,PG,-9.0763,143.2092,76.71,82,100,14.52,overcast clouds
302,Starosubkhangulovo,RU,53.1031,57.4423,58.46,94,100,3.13,overcast clouds
303,Atlantic City,US,39.3643,-74.4229,84.02,70,0,6.91,clear sky
304,Abeche,TD,13.8292,20.8324,70.99,88,100,19.46,moderate rain
305,Fairbanks,US,64.8378,-147.7164,68.34,44,40,5.75,scattered clouds
306,Dingle,PH,10.9995,122.6711,75.87,89,79,0.85,moderate rain
307,Tokmak,UA,47.2514,35.7058,81.07,36,100,17.81,light rain
308,Puqi,CN,29.7167,113.8833,81.82,65,87,5.06,overcast clouds
309,Praskoveya,RU,44.7444,44.2031,78.8,43,16,15.55,few clouds
310,Ignatovka,RU,53.9479,47.6536,60.31,80,7,5.06,clear sky
311,Tarakan,ID,3.3,117.6333,79.99,80,100,3.49,light rain
312,Cayenne,GF,4.9333,-52.3333,83.08,1,0,4.61,clear sky
313,Kosh-Agach,RU,50.0,88.6667,46.27,89,3,2.42,clear sky
314,Skibbereen,IE,51.55,-9.2667,66.11,67,0,4.81,clear sky
315,Portland,US,45.5234,-122.6762,89.47,40,20,11.5,few clouds
316,Fortuna,US,40.5982,-124.1573,74.93,69,40,12.66,scattered clouds
317,Provideniya,RU,64.3833,-173.3,48.36,100,100,8.99,overcast clouds
318,Krasnoselkup,RU,65.7,82.4667,47.82,73,98,4.45,overcast clouds
319,Juegang,CN,32.3174,121.1855,85.91,86,92,4.32,overcast clouds
320,Nyurba,RU,63.2842,118.3319,60.71,81,99,2.13,overcast clouds
321,Mayo,US,38.8876,-76.5119,89.46,52,0,8.05,clear sky
322,Laguna,US,38.421,-121.4238,97.34,28,0,8.05,clear sky
323,Adrar,MR,20.5022,-10.0711,96.85,27,1,11.83,clear sky
